filename,timestamp,beat,panel,emotion,angle,shot,line,url
character-sheet.png,,,,,,Character and style anchor sheet,,https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_063725_ff5c1162-3700-4862-9791-c7a7a56b41d5.png
00-01_p1.png,0:01-0:06,01,1,Tension,Dutch angle,"Wide full body, arms thrown up","""What the hell are you waiting for? 6 hours of speeches?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_404c2d92-95ce-47dd-a61f-c4d2cf83dea7.png
00-01_p2.png,0:01-0:06,01,2,Tension,Dutch angle,"Medium-wide, palms spread","""What the hell are you waiting for? 6 hours of speeches?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_6eec8143-aeda-4e5e-bae9-7fbb9b5141f9.png
00-01_p3.png,0:01-0:06,01,3,Tension,Dutch angle,"Medium, mid-shout","""What the hell are you waiting for? 6 hours of speeches?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_7163f13b-f2a0-4eda-8e6b-2b94d7fb93f7.png
00-01_p4.png,0:01-0:06,01,4,Tension,Dutch angle,"Medium close, head tipped back","""What the hell are you waiting for? 6 hours of speeches?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_46bb5381-0668-4bb5-80fa-69307bce7dec.png
00-06_p1.png,0:06-0:09,02,1,Tension,Dutch angle,"Medium, looking back over the shoulder","""What the hell is going on?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_e352aca1-abe6-49c7-9585-b4e584d25dbe.png
00-06_p2.png,0:06-0:09,02,2,Tension,Dutch angle,"Medium close, frowning back","""What the hell is going on?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_d9a74b2c-5f84-4a23-85d2-eaa9147f8b52.png
00-06_p3.png,0:06-0:09,02,3,Tension,Dutch angle,"Close-up, brow furrowed","""What the hell is going on?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_9bcc118a-7db4-4184-a511-211c62bb79d5.png
00-06_p4.png,0:06-0:09,02,4,Tension,Dutch angle,"Wide, hand on hip, turned back","""What the hell is going on?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_03f452d3-42c4-4c58-a1ff-b915936bc433.png
00-09_p1.png,0:09-0:15,03,1,Neutral,Eye-level,"Wide two-shot, Gasuka on the bench","""Hey, where are you going?"" / ""You escaped too?"" / ""Yeah""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_01ffba6c-19fa-4723-bfdb-7c2e52892911.png
00-09_p2.png,0:09-0:15,03,2,Neutral,Eye-level,"Medium on Gasuka, hand raised","""Hey, where are you going?"" / ""You escaped too?"" / ""Yeah""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_74ca379f-c28c-46c8-80d2-d2838a74196b.png
00-09_p3.png,0:09-0:15,03,3,Neutral,Eye-level,"Medium on Muhire, mild surprise","""Hey, where are you going?"" / ""You escaped too?"" / ""Yeah""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_015f4434-1d4a-4c55-a92a-6b6c631880d2.png
00-09_p4.png,0:09-0:15,03,4,Neutral,Eye-level,"Medium two-shot, Muhire walking over","""Hey, where are you going?"" / ""You escaped too?"" / ""Yeah""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064026_a4b73446-d3a6-46d8-ad72-7030b6181fe2.png
00-15_p1.png,0:15-0:21,04,1,Neutral,Eye-level,"Medium two-shot, thumb jerked at the hall","""The uncle took the mic again?"" / ""I'm not going back""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_b1bf6540-c139-4e88-a72c-7d16ae9eb1a8.png
00-15_p2.png,0:15-0:21,04,2,Neutral,Eye-level,"Close on Gasuka, knowing smile","""The uncle took the mic again?"" / ""I'm not going back""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_01d7e974-225c-4487-a81f-d328bb34093e.png
00-15_p3.png,0:15-0:21,04,3,Neutral,Eye-level,"Medium on Muhire, arms folded","""The uncle took the mic again?"" / ""I'm not going back""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_8b794c33-9a3d-48b5-bcb9-a06048ca3c9a.png
00-15_p4.png,0:15-0:21,04,4,Neutral,Eye-level,"Wide two-shot, Muhire sits down","""The uncle took the mic again?"" / ""I'm not going back""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_c8ca84b1-4fb6-4d31-965a-a7f954682b52.png
00-21_p1.png,0:21-0:28,05,1,Conflict,Over-the-shoulder,"Over Gasuka onto Muhire, hand extended","""Gasuka, groom's side."" / ""Muhire. Bride's side."" / ""So we're enemies tonight""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_4eacacbf-5351-4dba-a234-8dc94f6ae656.png
00-21_p2.png,0:21-0:28,05,2,Conflict,Over-the-shoulder,Reverse over Muhire onto Gasuka,"""Gasuka, groom's side."" / ""Muhire. Bride's side."" / ""So we're enemies tonight""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_874607a8-dd95-494b-8305-9e70c500a7a3.png
00-21_p3.png,0:21-0:28,05,3,Conflict,Over-the-shoulder,"Over Gasuka, the handshake","""Gasuka, groom's side."" / ""Muhire. Bride's side."" / ""So we're enemies tonight""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_49c1a762-17db-414c-ad93-416ea0626e61.png
00-21_p4.png,0:21-0:28,05,4,Conflict,Over-the-shoulder,"Reverse over Muhire, half smile","""Gasuka, groom's side."" / ""Muhire. Bride's side."" / ""So we're enemies tonight""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_5336afd3-3d67-4d4e-934f-914a782f1b57.png
00-28_p1.png,0:28-0:38,06,1,Intimacy,Close-up,"Close on Muhire, teasing grin","""Only if the food runs out."" / ""Uncle, you look stressed.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_cbd1571b-301d-481e-b966-b105d1d4a80e.png
00-28_p2.png,0:28-0:38,06,2,Intimacy,Close-up,"Close on Gasuka, pinching his nose","""Only if the food runs out."" / ""Uncle, you look stressed.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_427c890c-604c-482e-aff5-c5de086562f2.png
00-28_p3.png,0:28-0:38,06,3,Intimacy,Close-up,"Close on Muhire, leaning in","""Only if the food runs out."" / ""Uncle, you look stressed.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_a18f11f0-7ee4-48ac-9aec-649ca572011f.png
00-28_p4.png,0:28-0:38,06,4,Intimacy,Close-up,Extreme close on Muhire's eyes,"""Only if the food runs out."" / ""Uncle, you look stressed.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064129_a5db786e-75ad-4d8b-8969-5e5b57dd6bac.png
00-38_p1.png,0:38-0:48,07,1,Intimacy,Close-up,"Close on Muhire, fingers pinched","""Grass."" / ""Like the lawn?"" / ""No uncle. The special grass.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_c603d0ba-c770-4e28-828f-7a91eeaa5682.png
00-38_p2.png,0:38-0:48,07,2,Intimacy,Close-up,"Close on Gasuka, blank","""Grass."" / ""Like the lawn?"" / ""No uncle. The special grass.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_e63384d3-86b3-4a55-87cd-5ec1fec8fa34.png
00-38_p3.png,0:38-0:48,07,3,Intimacy,Close-up,"Close on Gasuka, glancing down","""Grass."" / ""Like the lawn?"" / ""No uncle. The special grass.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064211_5ec0c3cb-9aad-443c-9f97-2b7c3eb4bd13.png
00-38_p4.png,0:38-0:48,07,4,Intimacy,Close-up,"Close on Muhire, correcting him","""Grass."" / ""Like the lawn?"" / ""No uncle. The special grass.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_3b2f4655-259d-4997-8d6c-c9ec7819d592.png
00-49_p1.png,0:49-0:58,08,1,Power,Low angle,"Medium, hand on his chest","""I'm not a smoker, I'm an artist."" / ""These hands?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064211_d40aa6e4-15ac-40fd-8ecf-a4375e344104.png
00-49_p2.png,0:49-0:58,08,2,Power,Low angle,"Close from below, proud","""I'm not a smoker, I'm an artist."" / ""These hands?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_36ff0d42-8e30-4d99-8bd9-1f720021d9a9.png
00-49_p3.png,0:49-0:58,08,3,Power,Low angle,"Medium, both palms presented","""I'm not a smoker, I'm an artist."" / ""These hands?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_35d197d5-05fc-4c9b-94dd-7106340a4cab.png
00-49_p4.png,0:49-0:58,08,4,Power,Low angle,"Wide full body, arms spread","""I'm not a smoker, I'm an artist."" / ""These hands?""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_89c4c16c-2b2e-453b-95e0-f2b251b4968a.png
00-58_p1.png,0:58-1:08,09,1,Power,Low angle,"Medium, thumbs at his chest","""Picasso, baby. They call me the King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_5a5820cf-2879-44df-bc88-0953f31df7db.png
00-58_p2.png,0:58-1:08,09,2,Power,Low angle,"Close from below, wide grin","""Picasso, baby. They call me the King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064210_0252a7a5-ab62-45a4-9a97-f2ad8206fbb4.png
00-58_p3.png,0:58-1:08,09,3,Power,Low angle,"Wide, standing on the bench","""Picasso, baby. They call me the King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064211_584d3a25-ef14-4a23-8432-6fafd897cfc2.png
00-58_p4.png,0:58-1:08,09,4,Power,Low angle,"Medium-wide, arms overhead","""Picasso, baby. They call me the King of Leaves.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064211_fc2b5a0c-e4c1-4a67-a05a-3f03fd7c77f4.png
01-08_p1.png,1:08-1:18,10,1,Tension,Dutch angle,"Medium on Gasuka, level stare","""I've met kings. They all talk like that, before they fall.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_c0a5728a-2db8-4b83-ba8e-3a0171c3c996.png
01-08_p2.png,1:08-1:18,10,2,Tension,Dutch angle,"Close on Gasuka, cold","""I've met kings. They all talk like that, before they fall.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064309_bfaae65a-be56-4024-81a4-9a2298a328d8.png
01-08_p3.png,1:08-1:18,10,3,Tension,Dutch angle,"Medium two-shot, grin faltering","""I've met kings. They all talk like that, before they fall.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064308_6fd4a9c1-2174-46f7-96f7-bb7b2598eba0.png
01-08_p4.png,1:08-1:18,10,4,Tension,Dutch angle,"Close on Muhire, smile frozen","""I've met kings. They all talk like that, before they fall.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_28c16fe6-2400-42f8-bb8b-80b7bb102296.png
01-18_p1.png,1:18-1:26,11,1,Power,Low angle,"Medium, waving it away","""Fall? Me? Never. Not once.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_1586138f-b876-4168-bc3a-17c79f555d35.png
01-18_p2.png,1:18-1:26,11,2,Power,Low angle,"Close from below, scoffing","""Fall? Me? Never. Not once.""",https://d8j0ntlcm91z4.cloudfront.net/user_3CQ3SniOW74lIaBiTsI2ZhcNhLT/hf_20260919_064307_3e0e0e11-558c-4679-89d6-791a15d71e3d.png
